"Predictor","Beta","SE","p_value","Model"
"word_len",0.0841397232798344,0.000289227352357414,0,"w/ Both"
"uttrSR",-0.0263878114222834,0.000121820931516923,0,"w/ Both"
"age",0.000208868139997082,7.09112439943656e-05,0.00344066682096153,"w/ Both"
"sexM",-0.0109095246057909,0.00150591995674652,2.88942173883368e-12,"w/ Both"
"unigram_logProb",-0.0233685991663668,9.09360870393111e-05,0,"w/ Both"
"infillFw_logProb",-0.0053848741318109,8.81823229757132e-05,0,"w/ Both"
"decorr_infillBw_logProb",-0.0244166601561055,0.000382456357763744,0,"w/ Both"
"infill_pmiFP",0.0053504111032875,0.000593290441390128,1.91723185215198e-19,"w/ Both"
