"Predictor","Beta","SE","p_value","Model"
"word_len",0.0839841055637758,0.000290154303939547,0,"w/ PMI"
"uttrSR",-0.0267958542947395,0.000122037928584176,0,"w/ PMI"
"age",0.000221891501268292,7.00467060476243e-05,0.0016717145618624,"w/ PMI"
"sexM",-0.0100896726163646,0.00148728954916909,5.15492866841884e-11,"w/ PMI"
"unigram_logProb",-0.0237586456206431,9.10244778969256e-05,0,"w/ PMI"
"infillFw_logProb",-0.00449998900465866,8.73685415569446e-05,0,"w/ PMI"
"infill_pmiFP",-0.0163551754184971,0.000487774576041967,2.8948936056978e-246,"w/ PMI"
