"Predictor","Beta","SE","p_value","Model"
"unigram_logProb",0.831152322745636,0.0315184230762014,2.99809577097634e-153,"w/ both"
"infillFw_logProb",0.218661548636378,0.0308443594703908,1.34898459590904e-12,"w/ both"
"decorr_infillBw_logProb",-0.123682248974569,0.0964096440723004,0.199533231084018,"w/ both"
"infill_pmiFP",-0.513195916223034,0.128526803053611,6.52674335373208e-05,"w/ both"
"NoisySemDist",-2.44890587596808,0.192515519074698,4.54570426276882e-37,"w/ both"
"NoisyPhonDist",-0.403765095460545,0.0335580249205837,2.41686083831205e-33,"w/ both"
