"Predictor","Beta","SE","p_value","Model"
"unigram_logProb",0.828081454507285,0.0312793510791859,1.94496416981947e-154,"w/ PMI"
"infillFw_logProb",0.223088657407553,0.0305676382637454,2.91648594904763e-13,"w/ PMI"
"infill_pmiFP",-0.62287411037223,0.0957676359840112,7.82042597195522e-11,"w/ PMI"
"NoisySemDist",-2.44108997375088,0.192417469778352,7.03222899080298e-37,"w/ PMI"
"NoisyPhonDist",-0.404059264343794,0.0335825421221271,2.41757441982375e-33,"w/ PMI"
